Droplet-Film model,PySINDY model,XGBoost model,Liquid film model,Liquid droplet model,,Qcr,Well status,Qlattice model,,TabPFN model,Test flow rate
7679.3221648445815,53673.34972,3878.4324,20224.63150539569,42054.36439908945,,2289.110819087479,Unloaded,28433.60345655908,,2896.7527,21900
3145.1578001674425,28428.421306707984,2581.9949,8281.069982727611,14261.316935474948,,1850.4067939354409,Unloaded,31115.95824276637,,2337.8308,13400
14140.759566572513,6822.124184041764,12802.495,10891.694776038941,15332.86346065456,,14043.723245621808,Unloaded,31011.789109609294,,3352.987,18500
7479.536328588446,13045.89707805439,5034.7603,19700.428640708862,28704.12714658873,,2686.983079275022,Unloaded,29735.71746398756,,3302.4011,25200
4615.660094228029,144.37714789131132,3609.659,12155.845960010054,15870.491744614945,,2670.897523170446,Unloaded,30959.704543030763,,3633.5964,21300
8011.631540076107,-1571.752308,4966.315,16590.22291147432,18303.71335605567,,2967.7126771409,Unloaded,30725.324071944822,,4408.0728,28300
15452.972324201824,-3093.450356,15784.214,16221.786405945379,16409.222420706115,,15310.440748079822,Unloaded,30907.619976452217,,4882.0415,30300
26826.92372168101,137.17812975443667,25260.682,14887.042404404696,11081.724680803469,,26782.88312608464,Unloaded,31428.46564,,6307.0337,34300
3461.8868553320403,24670.25264234729,9104.565,9115.613707410237,15064.481680991159,,2090.059973421495,Unloaded,31037.831471416037,,2564.737,15300
7734.269596,14647.691646339852,14291.401,20371.439281999614,30343.43949349354,,3362.370473173928,Unloaded,29579.463764251937,,3272.7683,26400
3383.862013861165,29699.76507722246,3501.0417,8910.120133,15332.86346065456,,2249.473492862964,Unloaded,31011.789109609294,,2410.8074,15300
18532.55163128835,-4516.360146,16887.057,15490.334338116152,16949.173096236485,,18355.76985726861,Unloaded,30855.53540987367,,4468.987,27000
160715.57062597113,166874.75407442357,160403.23,14154.653427579206,27060.24089906439,,160745.08766588007,Loaded,51981.39398021228,,170968,12000
213577.13000570517,82271.78745,207857.31,29136.914647236455,23219.213558939926,,213549.5256198016,Loaded,51737.112234157044,,145924.31,32300
8879.734972769449,86763.75237976635,152595.72,23391.98229,18847.048368151274,,161065.4847627364,Loaded,51457.93297556172,,35267.12,28500
116136.86715299914,88470.23978969292,116597.35,16974.180673435072,12135.385588582427,,116181.32275428396,Loaded,51021.715436614366,,12154.495,25000
177438.2133127616,84261.53184290271,176627.34,27624.93368738132,25414.082525235193,,177451.90736454705,Loaded,51876.70175823904,,155277.34,30600
207577.3192802617,82860.52986622308,7891.6587,28318.039182486795,23219.213558939926,,150574.69792781037,Loaded,51737.112234157044,,150176.81,33200
5854.256083430181,107706.93002563386,4437.5103,15419.10055282657,16139.72248031749,,3919.3065506218472,Unloaded,51283.44593893965,,3536.1667,18300
8736.334804352808,85470.88859455919,8235.245,23015.152649323376,15332.86346065456,,7619.216657592003,Unloaded,51231.099880560854,,6551.3228,33600
104199.63039021342,95635.15249156368,6290.143,15228.408571772552,12664.64233631276,,5960.064987840972,Unloaded,51056.61284393878,,5945.4634,21900
34240.76721059106,153604.3902246981,9588.058,0.000208622,25759.390755557208,,16083.9691,Near L.U,72991.98611951547,,11337.237,16083.9691
