Well no,Dia,Dev(deg),LiquidFlowrate,Gasflowrate,Area (m2),z,GasDens,Condesnate Presence,Water presence,LiquidDens,GasVis,LiqVis,g (m/s2),Test Vg,P/T,Test status,Vsg,Vsl,Rel,Reg,film thickness,"d(0,90)","d(15,90)","d(30,90)","d(45,90)","d(60,90)","d(90,90)","d(120,90)","d(150,90)","d(180,90)","d(210,90)","d(270,90)","d(360,90)",friction_factor,critical_film_thickness
31,0.073025,25,0.22,38500.0,0.004188254,1.16392,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.6,0.009303642,Loaded,106.39254448273674,0.0006079573970442099,3.0455716998539257,12430904.89736296,0.00013115302765009533,7.650593279588894e-05,7.836798739874892e-05,8.382725526333472e-05,9.25116963065415e-05,0.00010382948022299215,0.00013115302765009533,0.0001584765750771985,0.00017847880003685594,0.00018580012250430172,0.00017847880003685594,0.00013115302765009533,7.650593279588894e-05,0.008814376518525362,0.00018580012250430172
32,0.073025,26,0.51,26800.0,0.004188254,1.06906,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.2,0.00855094,Loaded,74.06026473084012,0.0014093557840570321,7.060188940570465,8653201.33115136,0.00015854449024964743,8.984187780813354e-05,9.21828625588605e-05,9.904628256893957e-05,0.00010996440710702168,0.0001241931840288905,0.00015854449024964743,0.00019289579647040436,0.00021804269793035527,0.00022724710269116132,0.00021804269793035527,0.00015854449024964743,8.984187780813354e-05,0.009669802589729241,0.00022724710269116132
33,0.073025,28,0.36,29300.0,0.004188254,1.05591,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.5,0.008442158,Loaded,80.96887151543342,0.0009948393769814343,4.9836627815791505,9460402.947863242,0.0001517395516450717,8.092776087737157e-05,8.334061413677235e-05,9.041474195277502e-05,0.00010166805420526798,0.00011633365626122165,0.0001517395516450717,0.00018714544702892177,0.0002130643613373684,0.00022255134241277186,0.0002130643613373684,0.0001517395516450717,8.092776087737157e-05,0.009572363498842103,0.00022255134241277186
34,0.073025,35,0.2,31800.0,0.004188254,1.08514,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.8,0.008672739,Loaded,87.87747830002671,0.0005526885427674635,2.7687015453217505,10267604.56457512,0.00014653296312313861,6.105540130130775e-05,6.396797859121172e-05,7.250722313187822e-05,8.609119951962967e-05,0.00010379418221222319,0.00014653296312313861,0.000189271744034054,0.000220558703114399,0.0002320105249449695,0.000220558703114399,0.00014653296312313861,6.105540130130775e-05,0.00976633008502772,0.0002320105249449695
35,0.0889,30,0.4,42200.0,0.006207167,1.06235,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.4,0.008497042,Loaded,78.68691143640892,0.0007458475017669092,4.548580823425567,11192426.282714805,0.00013812551955832072,6.906275977916036e-05,7.141601625283183e-05,7.831541513410568e-05,8.929077379101888e-05,0.00010359413966874053,0.00013812551955832072,0.0001726568994479009,0.00019793562398253575,0.00020718827933748107,0.00019793562398253577,0.00013812551955832072,6.906275977916036e-05,0.008493831216323902,0.00020718827933748107
36,0.0889,25,0.3,52200.0,0.006207167,1.04241,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.2,0.008348844,Loaded,97.33309898058165,0.0005593856263251818,3.411435617569175,13844659.998997936,0.00012306331501244156,7.178693375725757e-05,7.353413407941466e-05,7.865666623131602e-05,8.68054381121942e-05,9.742512438484957e-05,0.00012306331501244156,0.00014870150564003353,0.0001674699637935671,0.00017433969626762556,0.0001674699637935671,0.00012306331501244156,7.178693375725757e-05,0.007937832947943146,0.00017433969626762556
37,0.0889,28,0.57,41000.0,0.006207167,1.04893,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.3,0.008398138,Loaded,76.4493689311082,0.0010628326900178455,6.481727673381433,10874158.23676083,0.00013942444553514662,7.435970428541152e-05,7.657673158121182e-05,8.307672672221476e-05,9.341672578131085e-05,0.00010689207491027908,0.00013942444553514662,0.00017195681616001416,0.00019577216434807848,0.00020448918678488172,0.00019577216434807848,0.00013942444553514662,7.435970428541152e-05,0.008448376411417638,0.00020448918678488172
38,0.0889,38,0.43,48400.0,0.006207167,1.1029,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.9,0.008820302,Loaded,90.24754771379601,0.0008017860643994274,4.889724385182484,12836811.186810346,0.00012755926150266942,4.677172921764546e-05,4.952449762640286e-05,5.759520623478318e-05,7.043384958860182e-05,8.716549536015743e-05,0.00012755926150266942,0.0001679530276451814,0.00019752331677055565,0.00020834679378769339,0.00019752331677055568,0.00012755926150266942,4.677172921764546e-05,0.008512705164433396,0.00020834679378769339
39,0.060325,40,1.01,20000.0,0.002858147,1.07132,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.5,0.008567549,Loaded,80.98953622749285,0.004089971579488389,16.925508937538904,7817110.036677608,0.00016508631676483276,5.502877225494426e-05,5.87788921447728e-05,6.977368734113274e-05,8.726388072115031e-05,0.00011005754450988852,0.00016508631676483276,0.000220115089019777,0.00026039894618853275,0.00027514386127472124,0.00026039894618853275,0.00016508631676483276,5.502877225494426e-05,0.011849354207777716,0.00027514386127472124
40,0.060325,50,1.23,14900.0,0.002858147,1.05299,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.6,0.008445252,Loaded,60.337204489482176,0.004980856477990811,20.612253458586984,5823746.977324819,0.00019447793206389392,3.241298867731565e-05,3.793521771072223e-05,5.41255740282303e-05,7.98807116026305e-05,0.00011344546037060479,0.00019447793206389392,0.00027551040375718304,0.0003348302900995576,0.0003565428754504722,0.0003348302900995576,0.00019447793206389392,3.241298867731565e-05,0.01388469058694374,0.0003565428754504722
41,0.060325,45,0.25,16600.0,0.002858147,1.02847,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.9,0.008239051,Loaded,67.22131506881907,0.0010123692028436606,4.189482410281907,6488201.330442416,0.00018878356920935707,4.719589230233927e-05,5.2020375400596256e-05,6.616504414505633e-05,8.866596273595483e-05,0.00011798973075584816,0.00018878356920935707,0.00025957740766286596,0.0003114020942736578,0.0003303712461163749,0.0003114020942736578,0.00018878356920935707,4.719589230233927e-05,0.01322944135013965,0.0003303712461163749
42,0.060325,48,0.25,18300.0,0.002858147,1.04443,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.2,0.00835903,Loaded,74.10542564815596,0.0010123692028436606,4.189482410281907,7152655.683560012,0.00017857829895967406,3.5715659791934805e-05,4.05835861757385e-05,5.4855624188722115e-05,7.755915802595875e-05,0.00010714697937580445,0.00017857829895967406,0.0002500096185435437,0.000302300973730626,0.0003214409381274133,0.00030230097373062605,0.00017857829895967406,3.5715659791934805e-05,0.013004784863036365,0.0003214409381274133
43,0.0318,60,2.2,16500.0,0.000794226,0.90676,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.522246691,0.021393035,Unloaded,240.44919204357456,0.03205989227247661,69.9380137945623,12234054.891177075,0.00012431079768494778,0.0,4.235787714461395e-06,1.6654488925075224e-05,3.6409789667212225e-05,6.215539884247389e-05,0.00012431079768494778,0.00018646619652742166,0.00023196710644482035,0.00024862159536989556,0.00023196710644482038,0.0001243107976849478,0.0,0.016736709056083116,0.00024862159536989556
44,0.0318,60,2.09,9300.0,0.000794226,0.9407,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.580778382,0.009618574,Loaded,135.52590824274202,0.03045689765885277,66.44111310483414,6895558.211390714,0.00017253807514573262,0.0,5.879092344265478e-06,2.3115718949459717e-05,5.053523219731096e-05,8.626903757286631e-05,0.00017253807514573262,0.00025880711271859894,0.0003219604313420055,0.00034507615029146524,0.00032196043134200556,0.00017253807514573265,0.0,0.02131098618791495,0.00034507615029146524
45,0.0318,60,2.23,8500.0,0.000794226,0.93375,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.597558958,0.011111111,Loaded,123.86776559820505,0.03249707262164674,70.89171398266994,6302391.913636673,0.00018137952915376333,0.0,6.18035758399233e-06,2.430024918014409e-05,5.312483412071418e-05,9.068976457688166e-05,0.00018137952915376333,0.000272069293730645,0.0003384588091273826,0.00036275905830752665,0.0003384588091273826,0.00018137952915376335,0.0,0.02215128961910125,0.00036275905830752665
46,0.0318,60,1.2,14000.0,0.000794226,0.9232,40.0,0,1,1029.0,2.5e-05,0.015,9.81,4.729104614,0.013764511,Loaded,204.01749627939657,0.017487213966805422,38.14800752430669,10380410.210695697,0.00013818043318540254,0.0,4.7083840838111955e-06,1.8512667740905668e-05,4.047211185270975e-05,6.909021659270127e-05,0.00013818043318540254,0.0002072706497781038,0.0002578481986298994,0.0002763608663708051,0.00025784819862989945,0.00013818043318540257,0.0,0.01805036671106464,0.0002763608663708051
47,0.0318,60,1.31,2300.0,0.000794226,0.95377,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.549302496,0.007131012,Loaded,33.51716010304372,0.01909020858042925,41.6449082140348,1705353.1060428647,0.000386182742728167,0.0,1.3158857859883604e-05,5.1738677022424205e-05,0.00011311030656786022,0.0001930913713640835,0.000386182742728167,0.0005792741140922505,0.0007206268084339098,0.000772365485456334,0.0007206268084339099,0.0003861827427281671,0.0,0.041798695707083125,0.000772365485456334
48,0.0318,60,2.45,8300.0,0.000794226,0.9323,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.405790016,0.011442786,Loaded,120.95322993707083,0.0357030618488944,77.88551536212617,6154100.339198163,0.00018351236016605251,0.0,6.253032038401134e-06,2.458599435381156e-05,5.374952586108871e-05,9.175618008302626e-05,0.00018351236016605251,0.00027526854024907877,0.00034243872597829346,0.00036702472033210503,0.0003424387259782935,0.00018351236016605257,0.0,0.02235421715901321,0.00036702472033210503
49,0.0318,60,2.14,10500.0,0.000794226,0.94658,40.0,0,1,1029.0,2.5e-05,0.015,9.81,5.918472435,0.008457711,Unloaded,153.01312220954742,0.031185531574136338,68.03061341834696,7785307.658021772,0.00016092998809337882,0.0,5.483556369591958e-06,2.1560530173785533e-05,4.7135302216280296e-05,8.046499404668941e-05,0.00016092998809337882,0.00024139498214006825,0.0003002994460129721,0.00032185997618675765,0.0003002994460129721,0.00016092998809337885,0.0,0.020208700976789905,0.00032185997618675765
50,0.0318,60,7.14,9000.0,0.000794226,0.92561,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.202407825,0.013101161,Loaded,131.15410475104065,0.10404892310249224,226.9806447696248,6673120.8497329485,0.00017152639515954256,0.0,5.8446201846761655e-06,2.298017953181054e-05,5.0238917989746605e-05,8.576319757977128e-05,0.00017152639515954256,0.00025728959273931386,0.00032007261078727457,0.0003430527903190851,0.0003200726107872746,0.0001715263951595426,0.0,0.02121667136438499,0.0003430527903190851
